category,concept_id,score,fi
Cancer,136354,1,vafi
Cancer,438701,1,vafi
Cancer,4288751,1,vafi
Cancer,4003836,1,vafi
Cancer,4003834,1,vafi
Cancer,4038846,1,vafi
Cancer,4147164,1,vafi
Cancer,75512,1,vafi
Cancer,4241890,1,vafi
Cancer,75210,1,vafi
Cancer,4033835,1,vafi
Cancer,4098922,1,vafi
Cancer,4031756,1,vafi
Cancer,4241777,1,vafi
Cancer,200970,1,vafi
Cancer,135214,1,vafi
Anemia,37119138,1,vafi
Anemia,436659,1,vafi
Anemia,432588,1,vafi
Anemia,4098740,1,vafi
Anemia,4029726,1,vafi
Anemia,4147491,1,vafi
Anemia,4021911,1,vafi
Anemia,4143351,1,vafi
Anemia,440977,1,vafi
Anemia,444289,1,vafi
Anemia,435789,1,vafi
Anemia,4101573,1,vafi
Anemia,4280354,1,vafi
Anemia,4269764,1,vafi
Anemia,23988,1,vafi
Anemia,444238,1,vafi
Anemia,4098747,1,vafi
Anemia,4287844,1,vafi
Anemia,4278669,1,vafi
Anemia,4038772,1,vafi
Anemia,4023612,1,vafi
Anemia,4098015,1,vafi
Anemia,30978,1,vafi
Anemia,30683,1,vafi
Anemia,25518,1,vafi
Anemia,24909,1,vafi
Anemia,22288,1,vafi
Anemia,432868,1,vafi
Anemia,28396,1,vafi
Anemia,4146936,1,vafi
Anemia,4218100,1,vafi
Anemia,197253,1,vafi
Anemia,437834,1,vafi
Anemia,4024671,1,vafi
Anemia,434616,1,vafi
Anemia,440979,1,vafi
Anemia,4234973,1,vafi
Anemia,4098028,1,vafi
Anemia,4125496,1,vafi
Anemia,4146088,1,vafi
Anemia,137829,1,vafi
Anemia,4098145,1,vafi
Anemia,434894,1,vafi
Anemia,441258,1,vafi
Anemia,437247,1,vafi
Anemia,40599994,1,vafi
Anemia,4101584,1,vafi
Anemia,4101000,1,vafi
Anemia,432282,1,vafi
Anemia,4204062,1,vafi
Anemia,439777,1,vafi
Thyroid,138384,1,vafi
Thyroid,4130027,1,vafi
Thyroid,37016342,1,vafi
Thyroid,4030049,1,vafi
Thyroid,4130023,1,vafi
Thyroid,140673,1,vafi
Thyroid,133737,1,vafi
Thyroid,132579,1,vafi
Thyroid,4129364,1,vafi
Thyroid,4281109,1,vafi
Thyroid,4130020,1,vafi
Thyroid,137520,1,vafi
Thyroid,133444,1,vafi
Thyroid,4182870,1,vafi
Thyroid,141253,1,vafi
Diabetes,443412,1,vafi
Diabetes,442793,1,vafi
Diabetes,4193704,1,vafi
Diabetes,201820,1,vafi
Diabetes,4008576,1,vafi
Thyroid,31821,1,vafi
Thyroid,137820,1,vafi
Dementia,36712678,1,vafi
Dementia,373995,1,vafi
Dementia,373175,1,vafi
Anxiety,381537,1,vafi
Dementia,374009,1,vafi
Depress,35610112,1,vafi
Depress,4333677,1,vafi
